STRUCTURE_TYPE,TYPE,the_geom,REVIS_DATE,ACCESS_HOURS,MODIFIED_DT,,
Bridge Enclosed,,"MULTIPOLYGON (((-114.0683476683327 51.05056009376112, -114.06835391134588 51.050519638144046, -114.06833598505554 51.050518755946236, -114.06836677164732 51.05035681320831, -114.06840707136469 51.05035875208678, -114.06841257251172 51.0503143252385, -114.06847664025145 51.050316170170525, -114.0684723653537 51.05036614656009, -114.06848192624656 51.05036671180636, -114.06845439636574 51.05052879560377, -114.06843433621275 51.05052777712793, -114.06842674351486 51.05056497026909, -114.0683476683327 51.05056009376112",,,2024-05-23,,"-114.0683476683327 51.05056009376112, -114.06835391134588 51.050519638144046, -114.06833598505554 51.050518755946236, -114.06836677164732 51.05035681320831, -114.06840707136469 51.05035875208678, -114.06841257251172 51.0503143252385, -114.06847664025145 51.050316170170525, -114.0684723653537 51.05036614656009, -114.06848192624656 51.05036671180636, -114.06845439636574 51.05052879560377, -114.06843433621275 51.05052777712793, -114.06842674351486 51.05056497026909, -114.0683476683327 51.05056009376112"
Enclosed,,"MULTIPOLYGON (((-114.07600048978567 51.04635942308651, -114.07596741954424 51.046358484482035, -114.0759719454156 51.046304929705514, -114.075937949387 51.04627939758489, -114.07594094678706 51.04623561474201, -114.07597495284647 51.046236784680765, -114.07597219246304 51.04626938684039, -114.07600537317897 51.04629517029482, -114.07600048978567 51.04635942308651",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07600048978567 51.04635942308651, -114.07596741954424 51.046358484482035, -114.0759719454156 51.046304929705514, -114.075937949387 51.04627939758489, -114.07594094678706 51.04623561474201, -114.07597495284647 51.046236784680765, -114.07597219246304 51.04626938684039, -114.07600537317897 51.04629517029482, -114.07600048978567 51.04635942308651"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07081048619222 51.05069885661985, -114.07079749510049 51.05069830442945, -114.07072667921153 51.050696486428386, -114.07072554283295 51.05070888304814, -114.07071366159495 51.050708485699104, -114.0706445162242 51.05066098984354, -114.07067439926703 51.050280754930505, -114.070753367717 51.050283128987424, -114.07074978789991 51.05033931514291, -114.07073126010408 51.05063173965483, -114.07080228998169 51.05063365641047, -114.07080335482024 51.05062112498729, -114.0708143089105 51.050621477940275, -114.07088187028957 51.05066833548685, -114.07087114941973 51.05079463594017, -114.07085263616754 51.050782130769655, -114.07083181716142 51.05076806997309, -114.07081234572256 51.05078003361068, -114.0708020989055 51.05078615732601, -114.07081048619222 51.05069885661985",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.07081048619222 51.05069885661985, -114.07079749510049 51.05069830442945, -114.07072667921153 51.050696486428386, -114.07072554283295 51.05070888304814, -114.07071366159495 51.050708485699104, -114.0706445162242 51.05066098984354, -114.07067439926703 51.050280754930505, -114.070753367717 51.050283128987424, -114.07074978789991 51.05033931514291, -114.07073126010408 51.05063173965483, -114.07080228998169 51.05063365641047, -114.07080335482024 51.05062112498729, -114.0708143089105 51.050621477940275, -114.07088187028957 51.05066833548685, -114.07087114941973 51.05079463594017, -114.07085263616754 51.050782130769655, -114.07083181716142 51.05076806997309, -114.07081234572256 51.05078003361068, -114.0708020989055 51.05078615732601, -114.07081048619222 51.05069885661985"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06788251868487 51.049947783337366, -114.0673940984588 51.04993489872415, -114.06739790495702 51.04988177174153, -114.06788582897977 51.049896096781225, -114.06788251868487 51.049947783337366",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06788251868487 51.049947783337366, -114.0673940984588 51.04993489872415, -114.06739790495702 51.04988177174153, -114.06788582897977 51.049896096781225, -114.06788251868487 51.049947783337366"
Bridge Enclosed,,"MULTIPOLYGON (((-114.0737467863393 51.04540104112466, -114.07374641680278 51.04540092718819, -114.07375018335782 51.045346312179966, -114.07413073703692 51.045357598969595, -114.07420237681532 51.045359723631954, -114.07419859541999 51.04541453643832, -114.0737467863393 51.04540104112466",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.0737467863393 51.04540104112466, -114.07374641680278 51.04540092718819, -114.07375018335782 51.045346312179966, -114.07413073703692 51.045357598969595, -114.07420237681532 51.045359723631954, -114.07419859541999 51.04541453643832, -114.0737467863393 51.04540104112466"
Bridge Enclosed,,"MULTIPOLYGON (((-114.0703027288168 51.04999358112407, -114.07033952994837 51.04999469528474, -114.0703395499291 51.049994704262446, -114.07033954854236 51.049994730333474, -114.07033571676055 51.0500411897468, -114.06994284615887 51.05003012361534, -114.06994397253285 51.05001095684493, -114.06988180036987 51.05000895336469, -114.06987661242519 51.05000749743374, -114.06987828728084 51.049978426354514, -114.06989068794037 51.04998197887182, -114.0703027288168 51.04999358112407",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.0703027288168 51.04999358112407, -114.07033952994837 51.04999469528474, -114.0703395499291 51.049994704262446, -114.07033954854236 51.049994730333474, -114.07033571676055 51.0500411897468, -114.06994284615887 51.05003012361534, -114.06994397253285 51.05001095684493, -114.06988180036987 51.05000895336469, -114.06987661242519 51.05000749743374, -114.06987828728084 51.049978426354514, -114.06989068794037 51.04998197887182, -114.0703027288168 51.04999358112407"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07065953039071 51.0517098919325, -114.07066176380694 51.05167606225206, -114.0706865313005 51.051677135932046, -114.07068899401712 51.051659030937024, -114.0706944758492 51.051564840487146, -114.07071812282774 51.051242265890316, -114.07074805541741 51.051262605906416, -114.07078228219365 51.05124250124141, -114.0707522248019 51.05168036844483, -114.07079251357126 51.0516817913961, -114.07078968206946 51.05171337580829, -114.07072161593953 51.05171156962335, -114.07068599594959 51.051710539372166, -114.07065953039071 51.0517098919325",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.07065953039071 51.0517098919325, -114.07066176380694 51.05167606225206, -114.0706865313005 51.051677135932046, -114.07068899401712 51.051659030937024, -114.0706944758492 51.051564840487146, -114.07071812282774 51.051242265890316, -114.07074805541741 51.051262605906416, -114.07078228219365 51.05124250124141, -114.0707522248019 51.05168036844483, -114.07079251357126 51.0516817913961, -114.07078968206946 51.05171337580829, -114.07072161593953 51.05171156962335, -114.07068599594959 51.051710539372166, -114.07065953039071 51.0517098919325"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06825131411843 51.04518285705244, -114.06824792595408 51.04523248505749, -114.06811841608128 51.04522723059559, -114.06811805005525 51.04523241698623, -114.06742702944085 51.04521365875354, -114.06742947941675 51.04516452664788, -114.0674496947788 51.04516503099433, -114.067451889978 51.04513491232166, -114.06762561757812 51.04513998822201, -114.06762521720101 51.04515687926432, -114.06774611427957 51.04516083485485, -114.06774569020587 51.045170249149756, -114.06812169230153 51.04518091357846, -114.06812198127423 51.04517861383615, -114.06825131411843 51.04518285705244",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06825131411843 51.04518285705244, -114.06824792595408 51.04523248505749, -114.06811841608128 51.04522723059559, -114.06811805005525 51.04523241698623, -114.06742702944085 51.04521365875354, -114.06742947941675 51.04516452664788, -114.0674496947788 51.04516503099433, -114.067451889978 51.04513491232166, -114.06762561757812 51.04513998822201, -114.06762521720101 51.04515687926432, -114.06774611427957 51.04516083485485, -114.06774569020587 51.045170249149756, -114.06812169230153 51.04518091357846, -114.06812198127423 51.04517861383615, -114.06825131411843 51.04518285705244"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06675884507752 51.05050466981582, -114.06669350310314 51.05050253879606, -114.06670848725346 51.05028317285087, -114.06677362742296 51.05028502709401, -114.06675884507752 51.05050466981582",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06675884507752 51.05050466981582, -114.06669350310314 51.05050253879606, -114.06670848725346 51.05028317285087, -114.06677362742296 51.05028502709401, -114.06675884507752 51.05050466981582"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07285233373446 51.04593276224709, -114.07286363320634 51.04573217628403, -114.07293627823525 51.04573478564234, -114.07292470846266 51.04593468316753, -114.07285233373446 51.04593276224709",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.07285233373446 51.04593276224709, -114.07286363320634 51.04573217628403, -114.07293627823525 51.04573478564234, -114.07292470846266 51.04593468316753, -114.07285233373446 51.04593276224709"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07033853091018 51.0490385152544, -114.07039715154158 51.04904022037395, -114.07039433592053 51.04907859022782, -114.07033348351925 51.04907706714337, -114.07032920942159 51.04913936223524, -114.07001325379352 51.04912993650774, -114.07001664334702 51.04908229521346, -114.07027465394289 51.04908999469733, -114.07027856942553 51.04903665538939, -114.07033853091018 51.0490385152544",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07033853091018 51.0490385152544, -114.07039715154158 51.04904022037395, -114.07039433592053 51.04907859022782, -114.07033348351925 51.04907706714337, -114.07032920942159 51.04913936223524, -114.07001325379352 51.04912993650774, -114.07001664334702 51.04908229521346, -114.07027465394289 51.04908999469733, -114.07027856942553 51.04903665538939, -114.07033853091018 51.0490385152544"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06491026073074 51.0487260121321, -114.06491642019125 51.04868605386478, -114.06546738568747 51.04870162332, -114.0654645502121 51.04874092440349, -114.06491026073074 51.0487260121321",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06491026073074 51.0487260121321, -114.06491642019125 51.04868605386478, -114.06546738568747 51.04870162332, -114.0654645502121 51.04874092440349, -114.06491026073074 51.0487260121321"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06166576840678 51.04539733355777, -114.06174635138889 51.04539787534708, -114.06175357230609 51.04544832489496, -114.06175317859089 51.04549898113688, -114.06174517378487 51.04554938840759, -114.06172962989321 51.0455990932814, -114.06164795757503 51.04559681344078, -114.06164814794693 51.04559411911743, -114.06166525120973 51.045406281311976, -114.06166565937306 51.04539791704897, -114.06166576840678 51.04539733355777",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06166576840678 51.04539733355777, -114.06174635138889 51.04539787534708, -114.06175357230609 51.04544832489496, -114.06175317859089 51.04549898113688, -114.06174517378487 51.04554938840759, -114.06172962989321 51.0455990932814, -114.06164795757503 51.04559681344078, -114.06164814794693 51.04559411911743, -114.06166525120973 51.045406281311976, -114.06166565937306 51.04539791704897, -114.06166576840678 51.04539733355777"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07058492850183 51.04523227383589, -114.07065305862618 51.04523458348686, -114.07064653120588 51.04531316759309, -114.07057936144888 51.04531133830915, -114.07058492850183 51.04523227383589",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.07058492850183 51.04523227383589, -114.07065305862618 51.04523458348686, -114.07064653120588 51.04531316759309, -114.07057936144888 51.04531133830915, -114.07058492850183 51.04523227383589"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06630743584503 51.04923317714999, -114.06637413330463 51.049234990278585, -114.06637825661329 51.049235103005536, -114.06637851383925 51.04930530453877, -114.06635426351363 51.04928991890535, -114.06634064595117 51.049289794486214, -114.06632814597457 51.04938713695228, -114.06633434628338 51.04938755145593, -114.06632540886626 51.04944989399208, -114.06631998586388 51.04944950152126, -114.06630662088224 51.04954240354807, -114.06631349795508 51.04960124999418, -114.06631336619292 51.04960885447881, -114.06630442919881 51.04960861233135, -114.06630502966468 51.04962261798498, -114.0662008921072 51.049619785917024, -114.06620483506875 51.0495393912539, -114.06621027627276 51.04953953919921, -114.0662234183005 51.04944417592246, -114.06621721798767 51.049443763210895, -114.0662265099604 51.04938192031089, -114.06623233766153 51.04938207792488, -114.06624428081946 51.0492871746976, -114.0662248858622 51.04928615636442, -114.06622904594111 51.049231046079996, -114.06630743584503 51.04923317714999",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06630743584503 51.04923317714999, -114.06637413330463 51.049234990278585, -114.06637825661329 51.049235103005536, -114.06637851383925 51.04930530453877, -114.06635426351363 51.04928991890535, -114.06634064595117 51.049289794486214, -114.06632814597457 51.04938713695228, -114.06633434628338 51.04938755145593, -114.06632540886626 51.04944989399208, -114.06631998586388 51.04944950152126, -114.06630662088224 51.04954240354807, -114.06631349795508 51.04960124999418, -114.06631336619292 51.04960885447881, -114.06630442919881 51.04960861233135, -114.06630502966468 51.04962261798498, -114.0662008921072 51.049619785917024, -114.06620483506875 51.0495393912539, -114.06621027627276 51.04953953919921, -114.0662234183005 51.04944417592246, -114.06621721798767 51.049443763210895, -114.0662265099604 51.04938192031089, -114.06623233766153 51.04938207792488, -114.06624428081946 51.0492871746976, -114.0662248858622 51.04928615636442, -114.06622904594111 51.049231046079996, -114.06630743584503 51.04923317714999"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06333425339423 51.04945936422156, -114.06333882861456 51.049361031209976, -114.06331782946816 51.04934660418689, -114.06333886409615 51.04933476230935, -114.06334868832063 51.04923791874544, -114.06342651936794 51.04924029567202, -114.06342036004597 51.04933669675735, -114.06344085968003 51.04935085434136, -114.06341868607183 51.04936413521155, -114.06341047865486 51.04946156043643, -114.06333425339423 51.04945936422156",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06333425339423 51.04945936422156, -114.06333882861456 51.049361031209976, -114.06331782946816 51.04934660418689, -114.06333886409615 51.04933476230935, -114.06334868832063 51.04923791874544, -114.06342651936794 51.04924029567202, -114.06342036004597 51.04933669675735, -114.06344085968003 51.04935085434136, -114.06341868607183 51.04936413521155, -114.06341047865486 51.04946156043643, -114.06333425339423 51.04945936422156"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07579496849655 51.04922919431027, -114.07580610573235 51.049182907969076, -114.07587161500618 51.049185310669785, -114.07586980308561 51.04920848466723, -114.07627223681015 51.04922058362717, -114.07626871911584 51.04926792942468, -114.07579335230095 51.049254345919515, -114.07579496849655 51.04922919431027",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07579496849655 51.04922919431027, -114.07580610573235 51.049182907969076, -114.07587161500618 51.049185310669785, -114.07586980308561 51.04920848466723, -114.07627223681015 51.04922058362717, -114.07626871911584 51.04926792942468, -114.07579335230095 51.049254345919515, -114.07579496849655 51.04922919431027"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06733800307809 51.04903549538526, -114.06732875656493 51.04902925464916, -114.06730566266798 51.04902859911404, -114.06723866608252 51.048983524523365, -114.06787793545081 51.04900370913961, -114.06793721081362 51.04900558052366, -114.0679440500576 51.04904988601715, -114.0678938511157 51.049053008552285, -114.06733800307809 51.04903549538526",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06733800307809 51.04903549538526, -114.06732875656493 51.04902925464916, -114.06730566266798 51.04902859911404, -114.06723866608252 51.048983524523365, -114.06787793545081 51.04900370913961, -114.06793721081362 51.04900558052366, -114.0679440500576 51.04904988601715, -114.0678938511157 51.049053008552285, -114.06733800307809 51.04903549538526"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07502474095362 51.04862237487153, -114.07511138698526 51.048625745208554, -114.07509842145319 51.04884528091084, -114.07509862178654 51.04886862351055, -114.07509491285929 51.0489157347663, -114.07501098434419 51.04891220085803, -114.07501225390305 51.04884525084017, -114.07502474095362 51.04862237487153",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07502474095362 51.04862237487153, -114.07511138698526 51.048625745208554, -114.07509842145319 51.04884528091084, -114.07509862178654 51.04886862351055, -114.07509491285929 51.0489157347663, -114.07501098434419 51.04891220085803, -114.07501225390305 51.04884525084017, -114.07502474095362 51.04862237487153"
